Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
DOBOY,CANNON HILL,D1934,SOUTHGATE AVENUE PARK,B-RE-0155-N001,BALANCE OF PARK,188197,BUBBLER/DRINKING FOUNTAIN,BUBBLER & SINGLE TAP,-27.4658,153.091,508983,6961970,200566306
DOBOY,MURARRIE,D1931,CALLIOPE CIRCUIT PARK,B-RE-0158-N002,CENTRAL PARK PICNIC AREA,101443,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4638,153.095,509341,6962190,200513261
DOBOY,MURARRIE,D1930,EVERGREEN PLACE PARK,B-RE-0159-N002,ROSEWOOD PLACE DOG OFF LEASH AREA,196364,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,-27.4651,153.093,509227,6962050,100262449
FOREST LAKE,FOREST LAKE,D2007,CASCADE DRIVE PARK (NO.20),B-RE-0169-N003,TENNIS FACILITY PICNIC AREA,44359,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.629,152.965,496509,6943890,200487313
CALAMVALE,PARKINSON,D2005,DAINTREE DRIVE PARK (NO.65),B-RE-0170-N004,DAINTREE DR PLAYGROUND,37558,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6413,153.031,503033,6942540,200484093
DOBOY,HEMMANT,D1998,BILL BENHAM PARK,B-RE-0174-N002,BILL BENHAM PARK SHARE PATHWAY,100118559,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4474,153.12,511838,6964010,100118559
CENTRAL,BOWEN HILLS,D1984,JEAYS STREET PARK,B-RE-0183-N002,BALANCE OF PARK,38056,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4488,153.036,503578,6963860,200484350
MACGREGOR,WISHART,D1980,WISHART NATURE RESERVE,B-RE-0186-N001,BALANCE OF PARK,141723,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5568,153.094,509284,6951890,200538307
CENTRAL,NEW FARM,D1974,MERTHYR ROAD PARK (NO.2),B-RE-0192-N002,BALANCE OF PARK,118374,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4709,153.041,504055,6961410,200524025
ENOGGERA,MITCHELTON,D1970,LOCKROSE STREET PARK,B-RE-0196-N004,BALANCE OF PARK,71827,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4148,152.966,496637,6967620,200501782
MOOROOKA,WILLAWONG,D2105,GARDENS DRIVE PARK (NO 15),B-RE-0203-N002,BALANCE OF PARK,184851,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6055,153.03,502969,6946500,200563385
CALAMVALE,FOREST LAKE,D2171,SANCTUARY DRIVE PARK,B-RE-0205-N003,SNOWY RIVER CIRCUIT TENNIS COURT,120624,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6357,152.984,498375,6943160,200525868
DOBOY,HEMMANT,D2163,PAUL CONTI PARK,B-RE-0212-N004,PAUL CONTI PK PATHWAY,125790,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.4498,153.128,512687,6963730,100104035
BRACKEN RIDGE,CARSELDINE,D2158,MACARANGA CRESCENT PARK,B-RE-0217-N004,MACARANGA CRESCENT PICNIC AREA,53172,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3409,153.014,501379,6975800,100125381
